day_num,date,momentum_stocks,setups,trades,day_pnl
1,2025-06-02,1,1,1,-0.30637254901960786
2,2025-06-03,1,1,0,0.0
3,2025-06-04,2,2,0,0.0
4,2025-06-05,2,2,2,-0.5478559733036723
5,2025-06-06,5,5,3,1.2250838644312818
6,2025-06-09,13,13,7,4.519860574908863
7,2025-06-10,17,17,10,2.1688365695315572
8,2025-06-11,18,18,13,3.367988709560778
9,2025-06-12,10,10,3,-1.0022471583096533
10,2025-06-13,2,2,2,0.12151447452211736
11,2025-06-16,0,0,0,0.0
12,2025-06-17,9,9,4,-1.4059993881707238
13,2025-06-18,5,5,2,-1.5041416574696833
14,2025-06-19,2,2,1,-0.2660715818384716
15,2025-06-20,2,2,1,-0.23776863283035293
16,2025-06-23,14,14,9,-0.11123554867461477
17,2025-06-24,5,5,4,-0.4101498779504739
18,2025-06-25,11,11,3,0.6301781314095758
19,2025-06-26,11,11,7,2.8303254202111576
20,2025-06-27,23,23,15,4.462107216302618
21,2025-06-30,23,23,12,-3.907772128057964
22,2025-07-01,3,3,3,-0.1554534475271292
23,2025-07-02,5,5,3,1.8939097569723438
24,2025-07-03,5,5,3,-2.381359675934273
25,2025-07-04,4,4,1,-1.9999999999999967
26,2025-07-07,2,2,2,0.7603744448044348
27,2025-07-08,4,4,3,-0.2794720970379657
28,2025-07-09,4,4,3,-1.2770396526794139
29,2025-07-10,6,6,1,-0.31059170351653453
30,2025-07-11,1,1,0,0.0
31,2025-07-14,2,2,1,0.14615925945975453
32,2025-07-15,1,1,1,-1.4323550078374143
33,2025-07-16,5,5,3,0.7714729868299384
34,2025-07-17,5,5,3,-2.80743276911331
35,2025-07-18,2,2,0,0.0
36,2025-07-21,4,4,0,0.0
37,2025-07-22,9,9,3,0.49350989302105763
38,2025-07-23,5,5,3,0.4458291361295245
39,2025-07-24,8,8,4,-2.3567578376635403
40,2025-07-25,3,3,2,-2.629921259842527
