symbol,day1_volume,day2_volume,day3_volume,day4_volume,day5_volume,avg_volume_5day,threshold_1.5x
ADANIENT,551394,514390,572433,801066,683384,624533.4,936800.1000000001
ADANIPORTS,1023805,2569718,2034415,1658943,2573350,1972046.2,2958069.3
APOLLOHOSP,227989,217913,277981,308462,910795,388628.0,582942.0
ASIANPAINT,1257676,2484190,773860,1413243,3609127,1907619.2,2861428.8
AXISBANK,3605010,7239672,3522689,7773791,9994897,6427211.8,9640817.7
BAJAJ-AUTO,440353,401024,311911,329811,1433718,583363.4,875045.1000000001
BAJAJFINSV,713427,1174648,415095,874354,2142970,1064098.8,1596148.2000000002
BAJFINANCE,5470370,7141910,6500380,7032870,15038040,8236714.0,12355071.0
BEL,26678890,16840867,27520401,18498231,23115776,22530833.0,33796249.5
BHARTIARTL,3250261,5842938,3711781,5781483,16710418,7059376.2,10589064.3
CIPLA,884762,880877,1090242,1382669,7036528,2255015.6,3382523.4000000004
COALINDIA,6063017,6547723,6001030,7711282,6560605,6576731.4,9865097.100000001
DRREDDY,984768,1144382,766820,1790928,3160355,1569450.6,2354175.9000000004
EICHERMOT,336969,452347,379358,704407,915560,557728.2,836592.2999999999
GRASIM,435465,873443,848840,615512,1202629,795177.8,1192766.7000000002
HCLTECH,1077939,2737180,1774164,2369984,4407482,2473349.8,3710024.6999999997
HDFCBANK,5393793,13064314,9071537,14432057,14367665,11265873.2,16898809.799999997
HDFCLIFE,2342369,3470004,4159906,2914315,3183336,3213986.0,4820979.0
HEROMOTOCO,764386,411309,423884,368638,914106,576464.6,864696.8999999999
HINDALCO,6820214,4220508,3544420,4529735,9047642,5632503.8,8448755.7
HINDUNILVR,891077,1864382,897032,1109712,3287444,1609929.4,2414894.0999999996
ICICIBANK,5603436,14826919,8609193,15521343,11798189,11271816.0,16907724.0
INDUSINDBK,5375380,10334253,5304279,8777678,5627099,7083737.8,10625606.7
INFY,3165823,7768926,3621275,8594939,13139455,7258083.6,10887125.399999999
IOC,5992030,4962718,6382665,7044126,28294335,10535174.8,15802762.200000001
ITC,13090729,26927545,431488697,21459001,30642897,104721773.8,157082660.7
JIOFIN,8592030,24369072,37145394,15818393,17867216,20758421.0,31137631.5
JSWSTEEL,4713473,1158047,1789482,3277220,1709065,2529457.4,3794186.0999999996
KOTAKBANK,2037919,3456491,1633417,4980895,9805289,4382802.2,6574203.300000001
LT,1677576,2011959,1292903,1970151,2570403,1904598.4,2856897.5999999996
M&M,2161221,2597256,1489540,2090901,3697300,2407243.6,3610865.4000000004
MARUTI,214607,344320,178067,190725,351264,255796.6,383694.9
NESTLEIND,623759,791484,723447,930264,1066955,827181.8,1240772.7000000002
NTPC,16625619,24908980,10982426,15872024,19138819,17505573.6,26258360.400000002
ONGC,7155811,9705171,7379738,12922866,10101740,9453065.2,14179597.799999999
POWERGRID,16462987,17062985,10092247,9756787,21772688,15029538.8,22544308.200000003
RELIANCE,4831826,12624288,5939822,13746812,13781932,10184936.0,15277404.0
SBILIFE,633518,1219375,762570,1187640,1364118,1033444.2,1550166.2999999998
SBIN,4956785,11985627,6868541,14012057,22021354,11968872.8,17953309.200000003
SHRIRAMFIN,2958910,2492576,3242861,4169045,6688921,3910462.6,5865693.9
SUNPHARMA,2281095,2798641,2656071,2374126,3640236,2750033.8,4125050.6999999997
TATACONSUM,615063,900980,491854,2554095,2475478,1407494.0,2111241.0
TATAMOTORS,13004286,12205888,7564896,8823061,14515921,11222810.4,16834215.6
TATASTEEL,25561913,23280300,13032296,26416210,32718155,24201774.8,36302662.2
TCS,966753,2465573,1221839,3184563,3401049,2247955.4,3371933.0999999996
TECHM,710700,1392633,820675,1746589,2780409,1490201.2,2235301.8
TITAN,525199,1018632,449111,512517,962537,693599.2,1040398.7999999999
ULTRACEMCO,197708,477592,200908,349913,393736,323971.4,485957.10000000003
UNITDSPR,343266,639554,423375,649196,1450179,701114.0,1051671.0
UPL,771082,1154999,937167,1379966,5120046,1872652.0,2808978.0
WIPRO,3684939,6855154,6200073,11776107,13850553,8473365.2,12710047.799999999
